pca1,pca2,Cluster
5.808067071644984,2.2654742195663635,Sub-type 2
-1.4717986964320777,-3.3854126780675506,Sub-type 1
2.110467895265568,-0.5020318180253656,Sub-type 1
3.784622938120763,10.69339072740907,Sub-type 3
0.878705095380517,-2.1560710854786347,Sub-type 1
-1.2504838000451879,4.815489447069066,Sub-type 3
-1.7862472268969425,-1.7649988822965612,Sub-type 1
-1.5849723672726308,2.8392634251909903,Sub-type 3
-0.6383771626084939,4.64096943988127,Sub-type 3
2.36140285701874,9.123297473466662,Sub-type 3
-5.0370562235315886,-1.9058685934182942,Sub-type 1
-1.323472521046018,0.8147764033854501,Sub-type 1
5.731127296556877,1.6334772825675838,Sub-type 2
-3.0320681966930043,-0.9120057805288263,Sub-type 1
0.7471834760769618,5.882990390021863,Sub-type 3
-0.12211152357729672,4.2977766634862835,Sub-type 3
-3.7832085574419283,-0.7063578648230824,Sub-type 1
0.5244991624433966,2.319918145195289,Sub-type 3
0.8875498841554202,-3.284066578043573,Sub-type 1
1.5961643041320759,3.7184451947147026,Sub-type 3
-0.1022046402689547,-4.239895437016836,Sub-type 1
0.6972678148480664,-0.5378197463434259,Sub-type 1
3.8600932647640565,2.1765781379670943,Sub-type 2
-0.5845013308603507,3.621530950169184,Sub-type 3
-0.25266124546217056,-1.9880575745666076,Sub-type 1
-0.23072451104378586,1.9457160677469816,Sub-type 3
-1.7898460199905109,-1.2936641880482145,Sub-type 1
2.2253523199994945,0.06112304847687049,Sub-type 1
-1.118438815325632,4.973461022079841,Sub-type 3
0.9644786009176549,1.1771863723562088,Sub-type 1
0.614530614331696,-0.020925922835862434,Sub-type 1
-1.144875122984038,1.8850007693539628,Sub-type 3
-1.3040170939381814,0.6460737708752701,Sub-type 1
-2.5530699060478765,1.851904748245665,Sub-type 3
-4.8438172501226875,-3.4048856113609616,Sub-type 1
-3.101796444247335,2.095375253489562,Sub-type 3
-6.302101176137417,-0.8956376198471682,Sub-type 1
-3.9902610451240337,3.437070777627521,Sub-type 3
5.836512258089398,1.9250473897512186,Sub-type 2
-3.040529933350137,1.9734191323015557,Sub-type 3
-4.62466189569208,1.3128929954200947,Sub-type 3
1.758752398918945,0.6656456985170989,Sub-type 1
-2.197411685836685,3.511187710689606,Sub-type 3
-0.1550244325249025,-0.8198764675938501,Sub-type 1
-4.838088952099432,-1.0558580760129062,Sub-type 1
0.6802218097137233,-1.677550238945517,Sub-type 1
-1.7438680501767871,1.9489229051201158,Sub-type 3
1.2887657311103826,3.5156044246623823,Sub-type 3
-2.3434525340462278,2.6029286818080695,Sub-type 3
-2.0590681694300326,1.66819917637607,Sub-type 3
-1.3014383514384371,-3.8522928118007225,Sub-type 1
